tool,nthreads,size,repetitions,usec
Pthreads,4,50000,1000,277968
Pthreads,4,50000,1000,218349
Pthreads,1,2000000,3000,22903259
Pthreads,1,2000000,3000,22470213
Pthreads,1,2000000,3000,22836245
Pthreads,1,2000000,3000,22330080
Pthreads,1,2000000,3000,22377966
Pthreads,1,2000000,3000,22600272
Pthreads,1,2000000,3000,22869544
Pthreads,1,2000000,3000,22192342
Pthreads,1,2000000,3000,22661330
Pthreads,1,2000000,3000,22044940
Pthreads,2,1000000,3000,11296790
Pthreads,2,1000000,3000,11484170
Pthreads,2,1000000,3000,11820957
Pthreads,2,1000000,3000,11604603
Pthreads,2,1000000,3000,11845229
Pthreads,2,1000000,3000,11853702
Pthreads,2,1000000,3000,11882976
Pthreads,2,1000000,3000,11066725
Pthreads,2,1000000,3000,11604449
Pthreads,2,1000000,3000,11098092
Pthreads,4,500000,3000,7147833
Pthreads,4,500000,3000,7250877
Pthreads,4,500000,3000,7423995
Pthreads,4,500000,3000,7436352
Pthreads,4,500000,3000,7095598
Pthreads,4,500000,3000,6995868
Pthreads,4,500000,3000,7057184
Pthreads,4,500000,3000,7011794
Pthreads,4,500000,3000,7387096
Pthreads,4,500000,3000,7200890
Pthreads,1,2000000,2000,15102948
Pthreads,1,2000000,2000,15107014
Pthreads,1,2000000,2000,15079071
Pthreads,1,2000000,2000,15132314
Pthreads,1,2000000,2000,15325760
Pthreads,1,2000000,2000,15092266
Pthreads,1,2000000,2000,15321271
Pthreads,1,2000000,2000,14732787
Pthreads,1,2000000,2000,15175331
Pthreads,1,2000000,2000,14972792
Pthreads,2,1000000,2000,7542512
Pthreads,2,1000000,2000,7699023
Pthreads,2,1000000,2000,7863142
Pthreads,2,1000000,2000,7729969
Pthreads,2,1000000,2000,7928281
Pthreads,2,1000000,2000,7397113
Pthreads,2,1000000,2000,7769267
Pthreads,2,1000000,2000,8302291
Pthreads,2,1000000,2000,7681795
Pthreads,2,1000000,2000,7727161
Pthreads,4,500000,2000,4639700
Pthreads,4,500000,2000,4738102
Pthreads,4,500000,2000,4818510
Pthreads,4,500000,2000,5069900
Pthreads,4,500000,2000,4643438
Pthreads,4,500000,2000,4616330
Pthreads,4,500000,2000,4821320
Pthreads,4,500000,2000,4562925
Pthreads,4,500000,2000,4630554
Pthreads,4,500000,2000,5252398
Pthreads,1,2000000,1000,7416416
Pthreads,1,2000000,1000,7398091
Pthreads,1,2000000,1000,7640477
Pthreads,1,2000000,1000,7640566
Pthreads,1,2000000,1000,7563734
Pthreads,1,2000000,1000,7356957
Pthreads,1,2000000,1000,7529419
Pthreads,1,2000000,1000,7395657
Pthreads,1,2000000,1000,7438289
Pthreads,1,2000000,1000,7565068
Pthreads,2,1000000,1000,3770760
Pthreads,2,1000000,1000,3834877
Pthreads,2,1000000,1000,3760649
Pthreads,2,1000000,1000,3755326
Pthreads,2,1000000,1000,3965730
Pthreads,2,1000000,1000,3694495
Pthreads,2,1000000,1000,3793882
Pthreads,2,1000000,1000,3698177
Pthreads,2,1000000,1000,3697426
Pthreads,2,1000000,1000,3796032
Pthreads,4,500000,1000,2478710
Pthreads,4,500000,1000,2287529
Pthreads,4,500000,1000,2327166
Pthreads,4,500000,1000,2464870
Pthreads,4,500000,1000,2522059
Pthreads,4,500000,1000,2284549
Pthreads,4,500000,1000,2785186
Pthreads,4,500000,1000,2261954
Pthreads,4,500000,1000,2508754
Pthreads,4,500000,1000,2340246

OpenMP,1,1000000,3000,8744242
OpenMP,1,1000000,3000,8330028
OpenMP,1,1000000,3000,8289355
OpenMP,1,1000000,3000,8388270
OpenMP,1,1000000,3000,8552767
OpenMP,1,1000000,3000,8320769
OpenMP,1,1000000,3000,8496407
OpenMP,1,1000000,3000,8354929
OpenMP,1,1000000,3000,8419275
OpenMP,1,1000000,3000,8350953
OpenMP,2,500000,3000,4768993
OpenMP,2,500000,3000,4483533
OpenMP,2,500000,3000,4379076
OpenMP,2,500000,3000,4408346
